121,2020-02-27 01:05:54,Руководство коллективом
122,2020-02-27 01:05:54,Разработка и внедрение системы KPI
123,2020-02-27 01:05:54,Управление качеством
124,2020-02-27 01:05:54,Деловая коммуникация
125,2020-02-27 01:06:00,Английский — B2 — Средне-продвинутый
126,2020-02-27 01:06:08,Бухгалтерский учет
127,2020-02-27 01:06:08,Налоговая отчетность
128,2020-02-27 01:06:08,Бухгалтерская отчетность
129,2020-02-27 01:06:08,1С: Предприятие 8
130,2020-02-27 01:06:08,1С: Предприятие: Бухгалтерский Учет
131,2020-02-27 01:06:27,Поиск информации в интернет
132,2020-02-27 01:06:27,Работа с оргтехникой
133,2020-02-27 01:06:27,MS Outlook
134,2020-02-27 01:06:27,Делопроизводство
135,2020-02-27 01:06:27,Умение работать в команде
136,2020-02-27 01:06:27,Документооборот
137,2020-02-27 01:06:28,1С: Склад
138,2020-02-27 01:06:28,Электронная почта
139,2020-02-27 01:06:28,Стандарты гостеприимства
140,2020-02-27 01:06:39,Бюджетирование
141,2020-02-27 01:06:39,Стратегическое планирование
142,2020-02-27 01:06:39,Маркетинговый анализ
143,2020-02-27 01:06:39,Маркетинговое планирование
144,2020-02-27 01:06:39,Планирование продаж
145,2020-02-27 01:06:39,Анализ данных
146,2020-02-27 01:06:39,DAX
147,2020-02-27 01:06:39,ROLAP
148,2020-02-27 01:06:39,Анализ продаж
149,2020-02-27 01:06:39,Финансовое планирование
150,2020-02-27 01:06:39,Анализ эффективности
151,2020-02-27 01:06:39,Анализ ФХД
152,2020-02-27 01:06:44,1С: Зарплата и управление персоналом
153,2020-02-27 01:06:44,1С: Управление Торговлей
154,2020-02-27 01:06:59,Продажа страховых продуктов
155,2020-02-27 01:06:59,Навыки продаж
156,2020-02-27 01:07:45,Доброжелательность
157,2020-02-27 01:07:45,Ответственность
158,2020-02-27 01:07:51,MS SQL
159,2020-02-27 01:07:51,MS Visual Studio
160,2020-02-27 01:07:51,AllFusion ERwin Data Modeler
161,2020-02-27 01:08:08,Lean Production
162,2020-02-27 01:08:08,Управление изменениями
163,2020-02-27 01:08:08,APQP
164,2020-02-27 01:08:08,Оптимизация бизнес-процессов
165,2020-02-27 01:08:08,Бережливое производство
166,2020-02-27 01:08:08,ISO 9001:2008
167,2020-02-27 01:08:40,Умение установить контакт с любым человеком
168,2020-02-27 01:08:40,Умение заинтересовать своим предложением
169,2020-02-27 01:08:40,Умение вести переговоры и договариваться
170,2020-02-27 01:08:40,Умение слушать и слышать
171,2020-02-27 01:08:40,Знание рынка систем безопасности
172,2020-02-27 01:08:40,"СКУД, СВН, ОПС, СОУЭ, ССОИ, СКС, ЭОМ"
173,2020-02-27 01:08:41,Консультирование
174,2020-02-27 01:08:41,Консультативные продажи
175,2020-02-27 01:08:44,Bash
176,2020-02-27 01:08:44,Python
177,2020-02-27 01:08:44,Go
178,2020-02-27 01:08:44,CloudNative
179,2020-02-27 01:09:05,B2B Продажи
180,2020-02-27 01:09:05,Прямые продажи
181,2020-02-27 01:09:05,B2C продажи
182,2020-02-27 01:09:05,Развитие ключевых клиентов
183,2020-02-27 01:09:05,FMCG Продажи
184,2020-02-27 01:11:09,Подготовка коммерческих предложений
185,2020-02-27 01:11:34,iOS
186,2020-02-27 01:11:34,Android
187,2020-02-27 01:11:34,API
188,2020-02-27 01:11:34,Node.js
189,2020-02-27 01:11:34,NoSQL
190,2020-02-27 01:11:34,Databases
191,2020-02-27 01:11:34,MongoDB
192,2020-02-27 01:11:35,Грамотность
193,2020-02-27 01:11:41,Розничная торговля
194,2020-02-27 01:11:54,Ruby
195,2020-02-27 01:11:54,Ruby On Rails
196,2020-02-27 01:11:54,PostgreSQL
197,2020-02-27 01:11:54,CI/CD
198,2020-02-27 01:11:54,ElasticSearch
199,2020-02-27 01:11:54,ActiveRecord
200,2020-02-27 01:11:54,RSpec
201,2020-02-27 01:11:54,Rubymine
202,2020-02-27 01:11:54,DelayedJob
203,2020-02-27 01:11:54,React
204,2020-02-27 01:11:56,Заключение договоров
205,2020-02-27 01:11:57,Управление товарными запасами
206,2020-02-27 01:12:00,Web Application Development
207,2020-02-27 01:12:00,Управление системой наставничества
208,2020-02-27 01:12:03,Корпоративные продажи
209,2020-02-27 01:12:03,Продажа комплексных проектов
210,2020-02-27 01:12:03,СУБД
211,2020-02-27 01:12:03,ORACLE
212,2020-02-27 01:12:03,Тестирование
213,2020-02-27 01:12:06,Клининг
214,2020-02-27 01:12:06,Чистое производство
215,2020-02-27 01:12:24,Kubernetes
216,2020-02-27 01:12:38,Работа с жалобами клиентов
217,2020-02-27 01:12:38,Управление процессами
218,2020-02-27 01:12:38,Многозадачность
219,2020-02-27 01:12:38,Стратегическое мышление
220,2020-02-27 01:12:38,Внутренний контроль
221,2020-02-27 01:12:38,Лидерство
222,2020-02-27 01:12:43,1С: Бухгалтерия
223,2020-02-27 01:12:43,1С:БГУ
224,2020-02-27 01:12:43,1С: Бухгалтерия государственного учреждения
225,2020-02-27 01:12:43,бюджетный учет
226,2020-02-27 01:12:43,Код бюджетной классификации
227,2020-02-27 01:12:43,КБК
228,2020-02-27 01:12:43,КПС
229,2020-02-27 01:13:27,MS Visio
230,2020-02-27 01:13:33,Статистический анализ
231,2020-02-27 01:14:07,BTL
232,2020-02-27 01:14:07,ATL
233,2020-02-27 01:14:07,Маркетинговые коммуникации
234,2020-02-27 01:14:07,Планирование маркетинговых кампаний
235,2020-02-27 01:14:07,B2B маркетинг
236,2020-02-27 01:14:07,B2C маркетинг
237,2020-02-27 01:14:07,MS Office
238,2020-02-27 01:14:47,Проектный менеджмент
239,2020-02-27 01:14:47,1С: Управление предприятием
240,2020-02-27 01:14:47,ERP-системы на базе 1С
241,2020-02-27 01:14:50,Мерчандайзинг
242,2020-02-27 01:14:50,Проведение промо акций
243,2020-02-27 01:14:52,Управление работой с ключевыми клиентами
244,2020-02-27 01:15:14,Организация конференций
245,2020-02-27 01:15:25,Работа с ТМЦ
246,2020-02-27 01:15:25,входящие звонки
247,2020-02-27 01:15:26,Немецкий — B2 — Средне-продвинутый
248,2020-02-27 01:15:26,Немецкий язык
249,2020-02-27 01:15:26,MS Exchange
250,2020-02-27 01:15:26,ADUC
251,2020-02-27 01:15:26,PowerShell
