360;Электроэнергетика
361;Энергетик производства
373;Судостроение
406;Сертификация
407;Автомобили, Запчасти
408;Алкоголь
409;ГСМ, нефть, бензин
410;Компьютерная техника
411;Фармацевтика
412;Продукты питания
413;Товары для бизнеса
414;Электроника, фото, видео
415;Химическая продукция
416;FMCG, Товары народного потребления
419;Начальный уровень, Мало опыта
427;Металлопрокат
437;Управление закупками
439;Строительные материалы
449;Электротехническое оборудование/светотехника
473;Станки, Тяжелое оборудование
574;Тендеры
742;Другое
421;Актуарий
430;Урегулирование убытков
483;Перестрахование
586;Врач-эксперт
754;Другое
18;Автострахование
19;Агент
28;Андеррайтер
108;Комплексное страхование физических лиц
109;Комплексное страхование юридических лиц
147;Медицинское страхование
170;Начальный уровень, Мало опыта
259;Руководитель направления
282;Страхование бизнеса
283;Страхование жизни
284;Страхование недвижимости
285;Страхование ответственности
357;Эксперт-оценщик
422;Авторское право
442;Международное право
476;Земельное право
477;Договорное право
478;Регистрация юридических лиц
479;Взыскание задолженности, Коллекторская деятельность
539;Антимонопольное право
759;Другое
2;Compliance
21;Адвокат
29;Арбитраж
36;Банковское право
72;Законотворчество
88;Интеллектуальная собственность
120;Корпоративное право
159;Морское право
165;Налоговое право
182;Начальный уровень, Мало опыта
187;Недвижимость
188;Недропользование
214;Помощник
266;Семейное право
276;Слияния и поглощения
286;Страховое право
311;Трудовое право
314;Уголовное право
352;Ценные бумаги, Рынки капитала
362;Юрисконсульт
423;Ассистент
507;Тайный покупатель
508;Проведение опросов, Интервьюер
509;Промоутер
747;Другое
1;Below The Line (BTL)
8;PR, Маркетинговые коммуникации
26;Аналитик
31;Арт директор
40;Бренд-менеджмент
48;Верстальщик
64;Дизайнер
90;Интернет-маркетинг
98;Исследования рынка
114;Консультант
119;Копирайтер
148;Менеджер по работе с клиентами
150;Менеджмент продукта (Product manager)
151;Мерчендайзинг
166;Наружная реклама
171;Начальный уровень, Мало опыта
206;Печатная реклама
209;Планирование, Размещение рекламы
213;Политический PR
230;Продвижение, Специальные мероприятия
236;Производство рекламы
244;Радио реклама
253;Рекламный агент
294;Телевизионная реклама
305;Торговый маркетинг(Trade marketing)
318;Управление маркетингом
328;Управление проектами
425;Экономист
434;Планово-экономическое управление
454;МСФО, IFRS
463;Бухгалтер-калькулятор
464;Основные средства
465;GAAP
467;ACCA
468;ТМЦ
469;Первичная документация
523;CIPA
737;Другое
33;Аудит
43;Бухгалтер
44;Бюджетирование и планирование
46;Валютный контроль
100;Казначейство
102;Кассир, Инкассатор
125;Кредитный контроль
164;Налоги
179;Начальный уровень, Мало опыта
200;Оффшоры
249;Расчет себестоимости
261;Руководство бухгалтерией
335;Учет заработной платы
337;Учет счетов и платежей
342;Финансовый анализ
343;Финансовый контроль
344;Финансовый менеджмент
351;Ценные бумаги
428;Последовательный перевод
429;Делопроизводство
456;Вечерний секретарь
494;Уборщица/уборщик
734;Другое
32;Архивист
47;Ввод данных
52;Водитель
127;Курьер
181;Начальный уровень, Мало опыта
205;Персональный ассистент
207;Письменный перевод
255;Ресепшен
264;Секретарь
271;Синхронный перевод
278;Сотрудник call-центра
332;Управляющий офисом (Оffice manager)
338;Учет товарооборота
374;АХО
435;НИИ
569;Архивариус
570;Атташе
571;Библиотекарь
658;Муниципалитет
739;Другое
760;Военнослужащий
761;Сотрудник полиции/ГИБДД
38;Благотворительность
194;Общественные организации
216;Правительство
436;Кино
745;Корректор, ретушер
62;Дизайн, графика, живопись
71;Журналистика
76;Издательская деятельность
99;Казино и игорный бизнес
134;Литературная, Редакторская деятельность
157;Мода
160;Музыка
173;Начальный уровень, Мало опыта
218;Пресса
240;Другое
243;Радио
293;Телевидение
347;Фотография
448;Юриспруденция
452;Страхование
521;Спортивные клубы, Фитнес, Салоны красоты
532;Управление закупками
562;Антикризисное управление
738;Другое
22;Администрирование
67;Добыча cырья
78;Инвестиции
94;Информационные технологии, Интернет, Мультимедиа
95;Искусство, Развлечения, Масс-медиа
105;Коммерческий Банк
115;Консультирование
139;Маркетинг, Реклама, PR
145;Медицина, Фармацевтика
168;Наука, Образование
226;Продажи
238;Производство, Технология
289;Строительство, Недвижимость
307;Транспорт, Логистика
312;Туризм, Гостиницы, Рестораны
317;Управление малым бизнесом
321;Управление персоналом, Тренинги
345;Финансы
455;Шины, Диски
502;Тонировщик
503;Автослесарь
565;Автожестянщик
566;Автомойщик
733;Другое
14;Автозапчасти
222;Продажа
235;Производство
239;Прокат, лизинг
267;Сервисное обслуживание
392;Начальный уровень, Мало опыта
461;Системы видеонаблюдения
462;Взыскание задолженности, Коллекторская деятельность
519;Инкассатор
575;Пожарная безопасность
736;Другое
77;Имущественная безопасность
135;Личная безопасность
202;Охранник
260;Руководитель СБ
356;Экономическая и информационная безопасность
470;Бурение
471;Маркшейдер
472;Газ
740;Другое
54;Геологоразведка
80;Инженер
191;Нефть
258;Руда
315;Уголь
323;Управление предприятием
393;Начальный уровень, Мало опыта
491;Повар
504;Хостес
505;Швейцар
518;Сомелье
529;Анимация
530;Оформление виз
531;Управление туристическим бизнесом
757;Другое
11;Авиабилеты
35;Банкеты
39;Бронирование
55;Гид, Экскурсовод
104;Кейтеринг
175;Начальный уровень, Мало опыта
193;Официант, Бармен
198;Организация встреч, Конференций
199;Организация туристических продуктов
204;Персонал кухни
223;Продажа туристических услуг
248;Размещение, Обслуживание гостей
316;Управление гостиницами
329;Управление ресторанами, Барами
353;Шеф-повар
492;Массажист
493;Парикмахер
624;Ногтевой сервис
753;Другое
377;Косметология
378;Тренерский состав
379;Администрация
380;Продажи
495;Грузчик
510;Слесарь
511;Токарь, Фрезеровщик
512;Фасовщик
513;Столяр
514;Сварщик
515;Электрик
516;Швея
517;Сборщик
540;Гардеробщик
541;Дворник, Уборщик
542;Дорожные рабочие
543;Жестянщик
544;Заправщик картриджей
545;Комплектовщик, Укладчик-упаковщик
546;Краснодеревщик
547;Кузнец
548;Лифтер
549;Машинист производства
550;Машинист сцены
551;Машинист экскаватора
552;Механик
553;Оператор станков
554;Пастух, Чабан
555;Перемотчик
556;Разнорабочий
557;Сантехник
558;Шлифовщик
559;Штукатур
560;Электромонтер, Кабельщик
561;Ювелир
581;Монтажник
582;Проводник
583;Маляр
588;Другое
162;Наладчик
496;Воспитатель, Гувернантка/гувернёр, Няня
497;домработница/домработник, Горничная
498;Персональный водитель
499;Садовник
500;Повар
501;Сиделка
533;Помощник по хозяйству, Управляющий
584;Репетитор
741;Другое
730;Бухгалтерия
731;Закупки
750;Другое
68;Добыча сырья
93;Информационные технологии, Интернет, Мультимедиа
96;Искусство, Развлечения, Масс-медиа
140;Маркетинг, Реклама, PR
146;Медицина, Фармацевтика
167;Наука, Образование
237;Производство, Технологии
281;Страхование
288;Строительство, Архитектура
308;Транспорт, Логистика
313;Туризм, Гостиницы, Рестораны
320;Управление персоналом
346;Финансы, Банки, Инвестиции
363;Юристы
388;Административный персонал
389;Продажи
390;Автомобильный бизнес
391;Консультирование
743;Другое
381;Сервисный инженер
382;Руководитель сервисного центра
383;Менеджер по сервису - сетевые и телекоммуникационные технологии
384;Менеджер по сервису - промышленное оборудование
385;Менеджер по сервису - транспорт
386;Инсталляция и настройка оборудования
746;Другое
5;Internet, E-Commerce
6;Knowledge management
7;PR Consulting
92;Информационные технологии
97;Исследования рынка
122;Корпоративные финансы
180;Начальный уровень, Мало опыта
197;Организационное консультирование
251;Реинжиниринг бизнес процессов
252;Реинжиниринг, Аутсорсинг финансовой функции
280;Стратегия
322;Управление практикой
326;Управление проектами
